skill_id,total_demand,roles_requiring,avg_importance,avg_proficiency,proficiency_std,employee_count,total_supply,gap_ratio,gap_score,criticality,departments_affected,skill_name
SK001,23.65,9.0,0.9166666666666666,2.5652173913043477,1.0215078369104984,69,177.0,0.13361581920149063,0.9999999251585681,low,"['1', '2', '3', '6', '9', '11', '12', '13', '15']",Python
SK041,11.87,5.0,0.9119999999999999,2.403225806451613,0.8190293619379909,62,149.0,0.07966442952485472,0.5962199987901283,low,"['2', '4', '5', '7', '8']",Communication
SK021,15.29,7.0,0.8914285714285715,2.6533333333333333,0.830065665480153,75,199.0,0.07683417085041033,0.5750379375676035,low,"['1', '2', '8', '9', '11', '12', '13']",SQL
SK043,8.16,6.0,0.5866666666666667,2.4375,0.8886408384057867,64,156.0,0.05230769230433925,0.39147825985093465,low,"['1', '2', '5', '6', '8', '10']",Problem Solving
SK042,5.550000000000001,2.0,0.925,2.574074074074074,0.8149974383997676,54,139.0,0.03992805755108431,0.29882730055039675,low,"['4', '7']",Leadership
SK002,6.16,3.0,0.8933333333333334,2.767857142857143,1.0088890637018242,56,155.0,0.03974193548130697,0.297434336326849,low,"['5', '10', '12']",JavaScript
SK012,3.4,2.0,0.6950000000000001,2.3404255319148937,0.9389308384188636,47,110.0,0.03090909090628099,0.23132806263298755,low,"['10', '12']",React
SK035,4.18,2.0,0.58,2.389830508474576,0.8713237878028559,59,141.0,0.02964539006881947,0.2218703445990271,low,"['3', '14']",Kubernetes
SK039,4.7299999999999995,3.0,0.4566666666666667,2.590909090909091,0.991925442720411,66,171.0,0.027660818711832697,0.2070175283657493,low,"['3', '13', '15']",Linux
SK022,4.34,3.0,0.57,2.4925373134328357,0.9750389942219125,67,167.0,0.025988023950539636,0.1944980928221468,low,"['4', '8', '13']",Data Analysis
SK004,3.88,2.0,0.625,2.603448275862069,0.9354547664557036,58,151.0,0.025695364236708915,0.19230778561393874,low,"['1', '11']",Java
SK034,5.41,3.0,0.5666666666666668,2.546511627906977,0.9287179872615804,86,219.0,0.024703196345903962,0.1848822590372277,low,"['3', '13', '14']",Docker
SK051,3.51,2.0,0.585,2.5076923076923077,0.8682431421244591,65,163.0,0.021533742329967253,0.16116161130501014,low,"['1', '4']",Agile Methodologies
SK036,3.13,2.0,0.595,2.393939393939394,0.8390248530065747,66,158.0,0.019810126581024674,0.14826182421209472,low,"['3', '6']",CI/CD Pipelines
SK025,2.79,2.0,0.46499999999999997,2.3833333333333333,0.8847419745789848,60,143.0,0.01951048950912514,0.1460192974569175,low,"['2', '13']",Machine Learning
SK055,3.76,3.0,0.6266666666666666,2.808219178082192,0.9228207699851482,73,205.0,0.018341463413739437,0.13727013875040803,low,"['4', '5', '8']",User Stories
SK023,2.72,1.0,0.68,2.5076923076923077,0.8860565184265358,65,163.0,0.016687116563393427,0.12488877001413891,low,['2'],Data Visualization
SK031,2.58,2.0,0.43,2.719298245614035,0.901474703807051,57,155.0,0.0166451612892487,0.12457477073429715,low,"['3', '14']",AWS
SK011,3.0599999999999996,3.0,0.5099999999999999,2.527027027027027,0.8947789651750911,74,187.0,0.0163636363627613,0.12246779786910718,low,"['5', '10', '12']",HTML & CSS
SK026,2.52,1.0,0.63,2.706896551724138,0.95529219723243,58,157.0,0.016050955412990384,0.12012764886401138,low,['13'],Deep Learning
SK016,3.01,2.0,0.565,2.739130434782609,0.9179929179696623,69,189.0,0.01592592592508328,0.11919191027185282,low,"['11', '12']",Node.js
SK056,2.7800000000000002,2.0,0.58,2.657142857142857,0.9307269137570473,70,186.0,0.014946236558336224,0.11185977475615953,low,"['4', '8']",JIRA
SK033,2.37,1.0,0.79,2.463768115942029,0.9168313422570846,69,170.0,0.013941176469768167,0.10433776112518141,low,['14'],GCP
SK024,2.2199999999999998,1.0,0.74,2.75,0.9320107659231253,60,165.0,0.013454545453730026,0.10069574491388125,low,['2'],Statistics
SK071,2.2800000000000002,1.0,0.76,2.6911764705882355,1.0545898678106336,68,183.0,0.012459016392761804,0.09324506285833693,low,['15'],OWASP
